Monat,20-39,40-59,60-79,Gesamt
Januar 2019,59251,53251,8625,123’962
Februar 2019,56940,51327,8499,119’473
März 2019,53104,48482,8323,112’341
April 2019,50568,46247,8220,107’298
Mai 2019,47698,43546,7986,101’370
Juni 2019,45252,41914,7704,97’222
Juli 2019,45248,41342,7680,97’578
August 2019,46679,40952,7645,99’552
September 2019,47058,40760,7713,99’098
Oktober 2019,48329,42488,7933,101’684
November 2019,50574,44909,8107,106’330
Dezember 2019,55515,50586,8586,117’277
Januar 2020,57374,52181,8882,121’018
Februar 2020,55469,51051,8753,117’822
März 2020,66283,57221,9489,135’624
April 2020,77168,63230,10200,153’413
Mai 2020,78441,64071,10479,155’998
Juni 2020,74822,61678,10402,150’289
Juli 2020,73211,60927,10536,148’870
August 2020,74014,61004,10718,151’111
September 2020,72467,60569,10855,148’560
Oktober 2020,72344,61699,11167,149’118
November 2020,74320,63887,11475,153’270
Dezember 2020,78825,69477,11927,163’545
Januar 2021,81609,72355,12558,169’753
Februar 2021,80496,71643,12648,167’953
März 2021,74893,67780,12575,157’968
April 2021,71002,65273,12585,151’279
Mai 2021,66139,61955,12636,142’966
Monat,20-39 Jahre,40-59 Jahre,60-79 Jahre,Gesamt
