Monat,20-39,40-59,60-79,Gesamt
März 2020,66283,57221,9489,135’624
April 2020,77168,63230,10200,153’413
Mai 2020,78441,64071,10479,155’998
Juni 2020,74822,61678,10402,150’289
Juli 2020,73211,60927,10536,148’870
August 2020,74014,61004,10718,151’111
September 2020,72467,60569,10855,148’560
Oktober 2020,72344,61699,11167,149’118
November 2020,74320,63887,11475,153’270
Dezember 2020,78825,69477,11927,163’545
Januar 2021,81609,72355,12558,169’753
Februar 2021,80496,71643,12648,167’953
März 2021,74893,67780,12575,157’968
April 2021,71002,65273,12585,151’279
Mai 2021,66139,61955,12636,142’966
