Monat,20-39,DS 20-39,Dif 20-39,40-59,DS 40-49,Dif 40-59,60-79,Durchschnitt 60-79,Dif  60-79,Gesamt
März 2020,66283,69582,-3299,57221,58215,-994,9489,33016,34010,135’624
April 2020,77168,66164,11004,63230,55858,7372,10200,31102,23730,153’413
Mai 2020,78441,62509,15932,64071,53497,10574,10479,29055,18481,155’998
Juni 2020,74822,59827,14995,61678,51762,9916,10402,27594,17678,150’289
Juli 2020,73211,59664,13547,60927,51021,9906,10536,27766,17860,148’870
August 2020,74014,61085,12929,61004,50546,10458,10718,29347,18889,151’111
September 2020,72467,61437,11030,60569,50410,10159,10855,29665,19506,148’560
Oktober 2020,72344,68070,4274,61699,51826,9873,11167,30080,20207,149’118
November 2020,74320,65276,9044,63887,54144,9743,11475,31039,21296,153’270
Dezember 2020,78825,70176,8649,69477,59003,10474,11927,33075,22601,163’545
Januar 2021,81609,75811,5798,72355,61974,10381,12558,36517,-23959,169’753
Februar 2021,80496,73880,5798,71643,60840,10803,12648,35418,-22770,167’953
März 2021,74893,69582,5311,67780,58215,9565,12575,33016,-20441,157’968
April 2021,71002,66164,4838,65273,55858,9415,12585,31102,-18517,151’279
Mai 2021,66139,62509,3630,61955,53497,8458,12636,29055,-16419,142’966
