Monat,20-39,40-59,60-79,Gesamt,,DS 20-39,DS 40-59,DS 60-79,,Diff 20-39,Diff 40-59,Diff 60-79
Dezember 2019,55515,50586,8586,117277,,70176,59003,8759,,0,0,0
Januar 2020,57374,52181,8882,121018,,75811,61974,9045,,-18437,-9793,-163
Februar 2020,55469,51051,8753,117822,,73880,60840,8982,,-18411,-9789,-229
März 2020,66283,57221,9489,135624,,69582,58215,8853,,-3299,-994,636
April 2020,77168,63230,10200,153413,,66164,55858,8736,,11004,7372,1464
Mai 2020,78441,64071,10479,155998,,62509,53497,8587,,15932,10574,1892
Juni 2020,74822,61678,10402,150289,,59827,51762,8420,,14995,9916,1982
Juli 2020,73211,60927,10536,148870,,59664,51021,8346,,13547,9906,2190
August 2020,74014,61004,10718,151111,,61085,50546,8254,,12929,10458,2464
September 2020,72467,60569,10855,148560,,61437,50410,8263,,11030,10159,2592
Oktober 2020,72344,61699,11167,149118,,68070,51826,8374,,4274,9873,2793
November 2020,74320,63887,11475,153270,,65276,54144,8507,,9044,9743,2968
Dezember 2020,78825,69477,11927,163545,,70176,59003,8759,,8649,10474,3168
Januar 2021,81609,72355,12558,169753,,75811,61974,9045,,5798,10381,3513
Februar 2021,80496,71643,12648,167953,,73880,60840,8982,,6616,10803,3666
März 2021,74893,67780,12575,157968,,69582,58215,8853,,5311,9565,3722
April 2021,71002,65273,12585,151279,,66164,55858,8736,,4838,9415,3849
Mai 2021,66139,61955,12636,142966,,62509,53497,8587,,3630,8458,4049
