datum_neu,20-29,30-39,40-49,50-59,60-69,30-49,50-69
01.03.20,15,15,7,8,4,22,12
08.03.20,42,59,75,84,47,134,131
15.03.20,266,356,389,457,280,745,737
22.03.20,749,920,1041,1443,904,1961,2347
29.03.20,782,922,1146,1561,1017,2068,2578
05.04.20,742,737,953,1267,672,1690,1939
12.04.20,507,453,546,648,366,999,1014
19.04.20,287,273,256,295,145,529,440
26.04.20,201,172,165,210,99,337,309
03.05.20,122,107,104,120,63,211,183
10.05.20,62,64,64,67,33,128,100
17.05.20,28,31,33,44,26,64,70
24.05.20,32,15,23,26,15,38,41
31.05.20,25,19,22,23,5,41,28
07.06.20,19,14,9,11,9,23,20
14.06.20,25,26,20,23,17,46,40
21.06.20,49,32,19,23,17,51,40
28.06.20,104,70,62,50,20,132,70
05.07.20,209,137,103,85,62,240,147
12.07.20,141,131,95,94,80,226,174
19.07.20,159,155,115,102,69,270,171
26.07.20,229,164,114,109,73,278,182
02.08.20,340,206,157,172,105,363,277
09.08.20,310,222,143,158,69,365,227
16.08.20,563,308,192,165,90,500,255
23.08.20,675,375,235,164,101,610,265
30.08.20,669,416,294,226,104,710,330
06.09.20,729,512,356,322,135,868,457
13.09.20,757,528,470,369,201,998,570
20.09.20,697,561,489,413,223,1050,636
27.09.20,487,446,358,385,163,804,548
04.10.20,787,731,530,531,299,1261,830
11.10.20,2061,1618,1391,1389,752,3009,2141
18.10.20,3963,3573,3211,3179,1807,6784,4986
25.10.20,7677,7286,6497,6656,3803,13783,10459
01.11.20,10176,9716,8990,9569,5342,18706,14911
08.11.20,8921,8626,8596,8651,4942,17222,13593
15.11.20,6416,6566,6417,6628,3822,12983,10450
22.11.20,5030,4902,4776,5021,2853,9678,7874
29.11.20,4319,4355,3934,4295,2463,8289,6758
06.12.20,4330,4519,4167,4567,2535,8686,7102
13.12.20,4531,4849,4674,4917,2947,9523,7864
20.12.20,4326,4786,4594,4986,2981,9380,7967
27.12.20,3644,4008,3771,4121,2566,7779,6687
03.01.21,3875,3950,3665,4039,2425,7615,6464
10.01.21,3946,3647,3280,3636,2010,6927,5646
17.01.21,2662,2475,2292,2482,1305,4767,3787
24.01.21,2184,2214,2153,2071,1199,4367,3270
31.01.21,1625,1926,1899,1786,1023,3825,2809
07.02.21,1453,1680,1644,1482,810,3324,2292
14.02.21,1248,1348,1344,1142,651,2692,1793
21.02.21,1107,1177,1166,1090,630,2343,1720
28.02.21,1160,1254,1219,1105,635,2473,1740
07.03.21,1286,1239,1265,1278,681,2504,1959
14.03.21,1485,1394,1476,1303,733,2870,2036
21.03.21,1721,1786,1793,1589,846,3579,2435
28.03.21,2166,2163,2101,1880,1007,4264,2887
04.04.21,1016,1054,1027,874,460,2081,1334
